دستان خوش بیت	دەستان خۆش بێت
ماندو نه بن	ماندوو نەبن
دس خوش	دەس خۆش
لشتان ساق بیت	لەشتان ساغ بێت
کردستان بهشتی دنیای	کوردستان بەهەشتی دونیای
ایران ده سال تریش شت وایه دس ناکه وه	ئێران دە ساڵ تریش شت وایە دەس ناکەوێ
بە طلاقم هر اچم	بە تەڵاقم هەر ئەچم
اوه قدیم بو  	ئەوە قەدیم بوو 
دی مچن خو مجبور نین	دەی مەچن خۆ مەجبوور نین
به قور گیره	بە قوڕ گیرێ
بفرو سرمایه	بەفر و سەرمایە
کریوه خوشه	کڕێوە خۆشە
او گورانیه ناوی چیه	ئەو گۆرانییە ناوی چییە
بشکم هوا گرم بکا	بەشکم هەوا گەرم بکا
آهنگکی خوش	ئاهەنگێکی خۆش
اخ بو او خوشیه تان	ئاخ بۆ ئەو خۆشییەتان
قلبتان ساغ بیت	قەڵبتان ساغ بێت
براسی زحمتی زوره او کاره	بەڕاسی زەحمەتی زۆرە ئەو کارە
سلاوتان له به	سڵاوتان لێ بێ
خوا رحم بم بشرانه بکا	خوا ڕەحم بەم بەشەرانە بکا
خوزگم ب خوتان برا	خۆزگەم بە خۆتان برا
لة پیرانشار مترک باریوه	لە پیرانشار مترێک باریوە
گیان فداتم شارکم	گیان فیداتم شارەکەم
شهید نامره	شەهید نامرێ
شا خلک	شا خەڵک
اوج کرونا کاره عاقلانه نیه	ئەوج کۆڕۆنا کارێ عاقڵانە نییە
ماوه کی تر یادبودیان بو بگرن.	ماوەیەکی تر یادبوودیان بۆ بگرن.
بژی کاریکی زور جوانه	بژی کارێکی زۆر جوانە
بژی سقز	بژی سەقز
ایمه ی قور بسر چی بکین	ئێمەی قوڕ بەسەر چی بکەین
خو تازه گشتی ئه مره	خۆ تازە گشتی ئەمرێ
او چی بوه	ئەوە چی بووە
جا اوه له ایران هیه تا له مریوان ببیت	جا ئەوە لە ئێران هەیە تا لە مەریوان ببێت
من هلمگرتوە	من هەڵمگرتووە
وایه به داخو	وایە  بەداخەوە
مه لی پنجره بلی ده لاقە	مەڵێ پەنجەرە بڵێ دەلاقە
مه لی زه نگ بلی تله فوون	مەڵێ زەنگ بڵێ تەلەفوون
عه ک سلاوتان لیبیت	عەک سڵاوتان لێ بێت
خوشحال ابوین له ام خبره	خۆشحاڵ ئەبووین لە ئەم خەبەرە
انشاءالله قدمیان پر خیر وبرکت بی	ئینشائەڵڵا قەدەمیان پڕ خێر و بەرەکەت بێ
خدا پی یان بیلی	خودا پێیان بێڵێ
کورد اونه ظالمه	کورد ئەوەنە زاڵمە
خواتان لی راضی بیت	خواتان لێ ڕازی بێت
داوه شي ئه مه هه موي فارسي بو	داوەشی ئەمە هەمووی فارسی بوو
بخوا له ژنی ام سه ردمه باشتره	بەخوا لە ژنی ئەم سەردەمە باشترە
وینه تان زور بت	وێنەتان زۆر بێت
هربژین و همیشه سرکوتوبن	هەر بژین و هەمیشە سەرکەوتوو بن
او دیمنه زور زور جوانه	ئەو دیمەنە زۆر زۆر جوانە
ای مام ریوی	ئەی مام ڕێوی
بخوا خوش بو یادی بخیر	بەخوا خۆش بوو یادی بە خێر
سرکوتوبن	سەرکەوتوو بن
هر اممان کم بو	هەر ئامەمان کەم بوو
دی ایسه امه روداو بوو؟	دەی ئیسە ئەمە ڕووداو بوو؟
جوو بو لای شاناز	چوو بۆ لای شاناز
یا ربی خدا صبوری بده به دلی او دایکه	یاڕەبی خودا سەبووری بدا بە دڵی ئەو دایکە
بژی زور جوان بو	بژی زۆر جوان بوو
پيكه نين و خوشي ميواني هه ميشه ييتان بي	پێکەنین و خۆشی میوانی هەمیشەییتان بێ
ایرو چن گریام	ئەیەڕۆ چەن گریام
بلی اوش وکو اوانی دی بیت	بڵێی ئەوەش وەکو ئەوانی دی بێت
ولا خوشه	وەڵا خۆشە
سالی بفرە قورسکە	ساڵی بەفرە قورسەکە
هر پارک بو اویشیان گرت	هەر پارک بوو ئەویشیان گرت
خوزگم بو دلتان	خۆزگەم بەو دڵەتان
چنه خوشه ایسه	چەنێ خۆشە ئیسە
شاری فرهنگ وادب	شاری فەرهەنگ و ئەدەب
خوا رحم به باقی دزکان کات	خوا ڕەحم بە باقیی دزەکان کات
چه خوش والا له سنه نابارت	چە خۆش واڵڵا لە سنە نابارێت
خوش به حالتان	خۆش بە حاڵتان
ای هاوار	ئەی هاوار
او خلکه نافامن زور عادی برون به ریگا	ئەو خەڵکە نافامن زۆر عادی بڕۆن بە ڕێگا
جی شانازیه بوکورد	جێی شانازییە بۆ کورد
یک دانە مه ری تیادا نیە هموی بزنە	یەک دانە مەڕی تیادا نییە هەمووی بزنە
افرین	ئافەرین
من عاشق سقزم هر له سنه تا سقز هزاران سلاو	من عاشق سەقزم هەر لە سنە تا سەقز هەزاران سڵاو
سلاو له خاکت سقزه کم	سڵاو لە خاکت سەقزەکەم
بخوا جوانه	بە خوا جوانە
زوربه داخه وه	زۆر بە داخەوە
کوا هه لو	کوا هەڵۆ
گشتی به فکری گیرفانی خویانن	گشتی بە فکری گیرفانی خۆیانن
هه روه ک خویی وایه	هەر وەک خۆی وایە
هیچ فرقه کی نکرده	هیچ فەرقێکی نەکردە
اوه پوری منه	ئەوە پووری منە
ای له دایه چن دلسوز و شیرینه	ئەی لە دایە چەند دڵسۆز و شیرینە
ئەی گیان بفر خۆشە	ئەی گیان بەفر خۆشە
بوکان فقط باران	بۆکان فەقەت باران
چن خۆشە بفر	چەن خۆشە بەفر
لاچن بو خوم	لاچن بۆ خۆم
بشکم بیته ناوشاریش	بەشکم بێتە ناو شاریش
روحیان شاد بت	ڕۆحیان شاد بێت
حیف بە داخەوە	حەیف بە داخەوە
خوا بیان بخشت	خوا بیانبەخشێت
داغ گرانم روحیان شاد	داخ گرانم ڕوحیان شاد
کابرا فقیر نبیت له شونی وا مال درست ناکا	کابرا فەقیر نەبێت لە شوێنی وا ماڵ دروست ناکا
خوا کوردستان بپاریزیت لە بەلا و چاوی ناحزان	خوا کوردستان بپارێزێت لە بەڵا و چاوی ناحەزان
یا ربی خوا رحمیان پی بکات	یا ڕەبی خوا ڕەحمیان پێ بکات
خوایه گیان بی به شمان نه کیت	خوایە گیان بێ بەشمان نەکەیت
جا له وه باشتر هه یه؟	جا لەوە باشتر هەیە؟
تو شەرف تان پیش بینی مەکەن	تو شەڕەفتان پێشبینی مەکەن
او سالانه تواو بون	ئەو ساڵانە تەواو بوون
هه مو کاته سه رکوتو و موفق بین	هەموو کاتێ سەرکەوتوو و موەفەق بین